transaction_id,payment_id,settlement_id,amount,currency,timestamp,bank_status,bank_account_id,utr,cleared_at
TXN-000001,PAY-000001-551,SET-20260825-642942,1070.71,INR,2026-08-25T13:21:17,SETTLED,BA-3002,UTR540247030132,2026-08-25T13:59:17
TXN-000001,PAY-000001-551,SET-20260825-642942,1070.71,INR,2026-08-25T14:06:17,SETTLED,BA-3002,UTR695726186524,2026-08-25T14:04:17
TXN-000002,PAY-000002-431,SET-20260804-998059,938.34,INR,2026-08-04T10:57:32,SETTLED,BA-3010,UTR825584140753,2026-08-04T11:12:32
TXN-000003,PAY-000003-797,SET-20260827-921321,1172.31,INR,2026-08-27T19:54:38,SETTLED,BA-3002,UTR543653867304,2026-08-27T21:19:38
TXN-000005,PAY-000005-621,SET-20260802-406883,2359.06,INR,2026-08-02T16:29:23,SETTLED,BA-3006,UTR716459564209,2026-08-02T16:50:23
TXN-000008,PAY-000008-888,SET-20260823-728395,1976.25,INR,2026-08-23T16:12:11,SETTLED,BA-3010,UTR247311547585,2026-08-23T16:46:11
TXN-000009,PAY-000009-805,SET-20260818-195285,448.45,INR,2026-08-18T17:17:56,SETTLED,BA-3006,UTR787120468340,2026-08-18T17:39:56
TXN-000010,PAY-000010-199,SET-20260803-509297,1487.57,INR,2026-08-05T12:30:17,PENDING,BA-3004,UTR215896634749,
TXN-000011,PAY-000011-797,SET-20260807-592380,677.40,INR,2026-08-07T08:09:44,SETTLED,BA-3004,UTR614085123273,2026-08-07T09:00:44
TXN-000012,PAY-000012-138,SET-20260819-688690,1669.61,INR,2026-08-19T21:13:17,SETTLED,BA-3005,UTR235960560774,2026-08-19T22:23:17
TXN-000013,PAY-000013-380,SET-20260812-931338,108.28,INR,2026-08-13T02:03:44,SETTLED,BA-3001,UTR779241308189,2026-08-13T03:28:44
TXN-000014,PAY-000014-969,SET-20260822-506364,1573.15,INR,2026-08-22T11:44:55,SETTLED,BA-3005,UTR590173162575,2026-08-22T11:56:55
TXN-000015,PAY-000015-256,SET-20260820-388021,505.04,INR,2026-08-20T22:30:44,SETTLED,BA-3003,UTR885596757022,2026-08-20T22:36:44
TXN-000016,PAY-000016-284,SET-20260828-392097,1606.11,INR,2026-08-28T19:16:52,SETTLED,BA-3005,UTR788609878102,2026-08-28T19:22:52
TXN-000017,PAY-000017-678,SET-20260814-755751,854.19,INR,2026-08-14T21:07:01,SETTLED,BA-3008,UTR802696881620,2026-08-14T21:15:01
TXN-000018,PAY-000018-480,SET-20260901-208848,1065.93,INR,2026-09-01T13:11:59,SETTLED,BA-3007,UTR170395381975,2026-09-01T14:04:59
TXN-000018,PAY-000018-480,SET-20260901-208848,1065.93,INR,2026-09-01T13:29:59,SETTLED,BA-3007,UTR334573710433,2026-09-01T14:38:59
TXN-000019,PAY-000019-410,SET-20260821-261628,935.03,INR,2026-08-21T11:06:16,SETTLED,BA-3003,UTR784845503377,2026-08-21T11:19:16
TXN-000020,PAY-000020-597,SET-20260815-392460,254.24,INR,2026-08-16T02:44:05,PENDING,BA-3006,UTR130264403288,2026-08-16T03:32:05
TXN-000021,PAY-000021-184,SET-20260803-219529,1262.99,INR,2026-08-03T18:27:43,SETTLED,BA-3010,UTR195768179151,2026-08-03T18:37:43
TXN-000022,PAY-000022-146,SET-20260806-228616,159.18,INR,2026-08-07T01:41:33,SETTLED,BA-3003,UTR516301347037,2026-08-07T01:58:33
TXN-000023,PAY-000023-180,SET-20260820-261790,2237.78,INR,2026-08-21T10:51:47,SETTLED,BA-3006,UTR689525119661,2026-08-21T11:40:47
TXN-000024,PAY-000024-343,SET-20260812-492135,1064.94,INR,2026-08-12T10:22:53,SETTLED,BA-3003,UTR348078607312,2026-08-12T10:50:53
TXN-000025,PAY-000025-895,SET-20260816-374190,456.83,INR,2026-08-17T05:14:55,SETTLED,BA-3010,UTR616118257637,2026-08-17T05:28:55
TXN-000026,PAY-000026-309,SET-20260829-638696,297.52,INR,2026-08-29T08:10:38,SETTLED,BA-3004,UTR365828669996,2026-08-29T09:11:38
TXN-000027,PAY-000027-540,SET-20260831-828626,512.44,INR,2026-08-31T19:13:47,SETTLED,BA-3003,UTR266676307392,2026-08-31T20:17:47
TXN-000028,PAY-000028-114,SET-20260830-758542,13.07,INR,2026-08-30T11:43:15,SETTLED,BA-3004,UTR526196302949,2026-08-30T12:57:15
TXN-000029,PAY-000029-830,SET-20260810-955635,583.87,INR,2026-08-10T12:15:47,SETTLED,BA-3007,UTR159058705236,2026-08-10T13:05:47
TXN-000030,PAY-000030-121,SET-20260817-149439,2070.80,INR,2026-08-18T07:31:03,SETTLED,BA-3010,UTR455996218135,2026-08-18T08:28:03
TXN-000031,PAY-000031-272,SET-20260810-640578,1811.71,INR,2026-08-11T07:01:26,SETTLED,BA-3002,UTR371197584172,2026-08-11T07:43:26
TXN-000032,PAY-000032-525,SET-20260827-653702,112.74,INR,2026-08-27T08:54:48,SETTLED,BA-3005,UTR917230284249,2026-08-27T09:25:48
TXN-000033,PAY-000033-809,SET-20260820-630256,414.35,INR,2026-08-21T05:52:24,SETTLED,BA-3002,UTR751833158510,2026-08-21T07:03:24
TXN-000034,PAY-000034-409,SET-20260807-972810,746.85,INR,2026-08-08T06:18:22,SETTLED,BA-3001,UTR966978787477,2026-08-08T06:42:22
TXN-000035,PAY-000035-239,SET-20260815-213145,1669.09,INR,2026-08-15T19:40:06,SETTLED,BA-3006,UTR725202669995,2026-08-15T20:59:06
TXN-000036,PAY-000036-841,SET-20260819-792671,258.88,INR,2026-08-20T07:57:01,RETURNED,BA-3002,UTR933299195109,2026-08-20T08:24:01
TXN-000037,PAY-000037-175,SET-20260808-962263,1319.41,INR,2026-08-08T11:13:40,SETTLED,BA-3005,UTR737714624921,2026-08-08T11:24:40
TXN-000038,PAY-000038-262,SET-20260831-358206,2078.55,INR,2026-08-31T15:27:49,SETTLED,BA-3003,UTR257091920379,2026-08-31T16:53:49
TXN-000039,PAY-000039-685,SET-20260822-181073,1100.36,INR,2026-08-22T23:29:06,SETTLED,BA-3005,UTR879530423170,2026-08-23T00:43:06
TXN-000040,PAY-000040-162,SET-20260820-318772,203.10,INR,2026-08-20T12:39:42,SETTLED,BA-3004,UTR392642206089,2026-08-20T13:52:42
TXN-000041,PAY-000041-977,SET-20260822-426396,389.16,INR,2026-08-23T08:46:45,SETTLED,BA-3004,UTR852542788707,2026-08-23T09:33:45
TXN-000042,PAY-000042-394,SET-20260822-190832,1477.58,INR,2026-08-22T17:44:00,SETTLED,BA-3001,UTR174860684912,2026-08-22T18:47:00
TXN-000043,PAY-000043-465,SET-20260829-119296,2433.60,INR,2026-08-29T20:46:20,SETTLED,BA-3007,UTR203488403464,2026-08-29T21:35:20
