transaction_id,payment_id,settlement_id,amount,currency,timestamp,gateway_status,payment_method,merchant_id,gateway_reference,settlement_initiated_at
TXN-000001,PAY-000001-551,SET-20260825-642942,1070.71,INR,2026-08-25T05:32:09,CAPTURED,NETBANKING,MID-1012,GW-53667967,2026-08-25T06:09:17
TXN-000002,PAY-000002-431,SET-20260804-998059,938.34,INR,2026-08-04T08:03:55,CAPTURED,WALLET,MID-1016,GW-55721806,2026-08-04T09:25:32
TXN-000003,PAY-000003-797,SET-20260827-921321,1172.31,INR,2026-08-27T17:05:45,CAPTURED,CARD,MID-1010,GW-88497449,2026-08-27T18:17:38
TXN-000004,PAY-000004-438,SET-20260803-845714,1451.17,INR,2026-08-03T02:20:26,CAPTURED,NETBANKING,MID-1003,GW-37840756,2026-08-03T03:56:22
TXN-000005,PAY-000005-621,SET-20260802-406883,2359.06,INR,2026-08-02T08:04:31,CAPTURED,UPI,MID-1014,GW-38263141,2026-08-02T11:57:23
TXN-000006,PAY-000006-337,,90.93,INR,2026-08-09T04:46:37,CAPTURED_UNSETTLED,NETBANKING,MID-1015,GW-13089222,
TXN-000007,PAY-000007-593,SET-20260828-497406,283.64,INR,2026-08-28T11:15:25,CAPTURED,WALLET,MID-1004,GW-52781733,2026-08-28T13:08:31
TXN-000008,PAY-000008-888,SET-20260823-728395,1976.25,INR,2026-08-23T06:36:43,CAPTURED,WALLET,MID-1012,GW-97623200,2026-08-23T09:54:11
TXN-000009,PAY-000009-805,SET-20260818-195285,448.45,INR,2026-08-18T08:16:35,CAPTURED,UPI,MID-1001,GW-84437628,2026-08-18T10:38:56
TXN-000010,PAY-000010-199,SET-20260803-509297,1487.57,INR,2026-08-03T09:30:17,CAPTURED,NETBANKING,MID-1009,GW-71860000,2026-08-03T13:18:20
TXN-000011,PAY-000011-797,SET-20260807-592380,677.40,INR,2026-08-07T02:24:54,CAPTURED,NETBANKING,MID-1014,GW-93341829,2026-08-07T04:36:44
TXN-000012,PAY-000012-138,SET-20260819-688690,1669.61,INR,2026-08-19T14:56:24,CAPTURED,NETBANKING,MID-1021,GW-76614801,2026-08-19T17:08:17
TXN-000013,PAY-000013-380,SET-20260812-931338,108.28,INR,2026-08-12T15:32:50,CAPTURED,NETBANKING,MID-1007,GW-87736338,2026-08-12T19:29:44
TXN-000014,PAY-000014-969,SET-20260822-506364,1573.15,INR,2026-08-22T07:57:43,CAPTURED,CARD,MID-1005,GW-70966789,2026-08-22T09:36:55
TXN-000015,PAY-000015-256,SET-20260820-388021,505.04,INR,2026-08-20T15:22:16,CAPTURED,NETBANKING,MID-1006,GW-99449873,2026-08-20T16:58:44
TXN-000016,PAY-000016-284,SET-20260828-392097,1606.11,INR,2026-08-28T07:31:46,CAPTURED,UPI,MID-1021,GW-76075898,2026-08-28T11:11:52
TXN-000017,PAY-000017-678,SET-20260814-755751,854.19,INR,2026-08-14T16:59:03,CAPTURED,NETBANKING,MID-1024,GW-39843502,2026-08-14T17:32:01
TXN-000018,PAY-000018-480,SET-20260901-208848,1065.93,INR,2026-09-01T05:15:36,CAPTURED,CARD,MID-1006,GW-31886212,2026-09-01T08:11:59
TXN-000019,PAY-000019-410,SET-20260821-261628,935.03,INR,2026-08-21T01:02:21,CAPTURED,CARD,MID-1024,GW-49565032,2026-08-21T03:53:16
TXN-000020,PAY-000020-597,SET-20260815-392460,254.24,INR,2026-08-15T21:40:25,SETTLEMENT_PENDING,CARD,MID-1003,GW-98946188,2026-08-16T00:56:05
