transaction_id,payment_id,settlement_id,amount,currency,timestamp,ledger_status,ledger_entry_id,posted_at,reconciliation_batch
TXN-000001,PAY-000001-551,SET-20260825-642942,1070.71,INR,2026-08-25T05:32:09,POSTED,LED-28155541,2026-08-25T09:14:17,RB-20260825
TXN-000001,PAY-000001-551,SET-20260825-642942,1070.71,INR,2026-08-25T05:32:09,DUPLICATE_HOLD,LED-80549166,2026-08-25T10:09:17,RB-20260825
TXN-000002,PAY-000002-431,SET-20260804-998059,938.34,INR,2026-08-04T08:03:55,POSTED,LED-36647233,2026-08-04T13:42:32,RB-20260804
TXN-000003,PAY-000003-797,SET-20260827-921321,1172.31,INR,2026-08-27T17:05:45,POSTED,LED-75237174,2026-08-27T22:47:38,RB-20260827
TXN-000004,PAY-000004-438,SET-20260803-845714,1451.17,INR,2026-08-03T02:20:26,POSTED,LED-60429544,2026-08-03T12:47:22,RB-20260803
TXN-000005,PAY-000005-621,SET-20260802-406883,2359.06,INR,2026-08-02T08:04:31,POSTED,LED-80153998,2026-08-02T14:30:23,RB-20260802
TXN-000007,PAY-000007-593,SET-20260828-497406,283.64,INR,2026-08-28T11:15:25,POSTED,LED-14933547,2026-08-28T19:45:31,RB-20260828
TXN-000008,PAY-000008-888,SET-20260823-728395,1976.25,INR,2026-08-23T06:36:43,POSTED,LED-19659320,2026-08-23T20:28:11,RB-20260823
TXN-000009,PAY-000009-805,SET-20260818-195285,448.45,INR,2026-08-18T08:16:35,POSTED,LED-38240720,2026-08-18T16:47:56,RB-20260818
TXN-000010,PAY-000010-199,SET-20260803-509297,1487.57,INR,2026-08-03T09:30:17,ACCRUED,LED-95648290,2026-08-03T22:30:17,RB-20260803
TXN-000011,PAY-000011-797,SET-20260807-592380,677.40,INR,2026-08-07T02:24:54,POSTED,LED-46116436,2026-08-07T16:02:44,RB-20260807
TXN-000012,PAY-000012-138,SET-20260819-688690,1669.61,INR,2026-08-19T14:56:24,POSTED,LED-97172496,2026-08-20T05:35:17,RB-20260820
TXN-000013,PAY-000013-380,SET-20260812-931338,108.28,INR,2026-08-12T15:32:50,POSTED,LED-16862792,2026-08-13T07:03:44,RB-20260813
TXN-000014,PAY-000014-969,SET-20260822-506364,1573.15,INR,2026-08-22T07:57:43,POSTED,LED-66774036,2026-08-22T12:04:55,RB-20260822
TXN-000015,PAY-000015-256,SET-20260820-388021,505.04,INR,2026-08-20T15:22:16,POSTED,LED-61192602,2026-08-20T21:55:44,RB-20260820
TXN-000017,PAY-000017-678,SET-20260814-755751,854.19,INR,2026-08-14T16:59:03,POSTED,LED-34578271,2026-08-15T01:31:01,RB-20260815
TXN-000018,PAY-000018-480,SET-20260901-208848,1065.93,INR,2026-09-01T05:15:36,POSTED,LED-12442982,2026-09-01T14:56:59,RB-20260901
TXN-000018,PAY-000018-480,SET-20260901-208848,1065.93,INR,2026-09-01T05:15:36,DUPLICATE_HOLD,LED-49550596,2026-09-01T15:44:59,RB-20260901
TXN-000019,PAY-000019-410,SET-20260821-261628,935.03,INR,2026-08-21T01:02:21,POSTED,LED-68722443,2026-08-21T15:10:16,RB-20260821
TXN-000020,PAY-000020-597,SET-20260815-392460,254.24,INR,2026-08-15T21:40:25,POSTED,LED-67691358,2026-08-16T06:39:05,RB-20260816
TXN-000021,PAY-000021-184,SET-20260803-219529,1262.99,INR,2026-08-03T08:12:09,POSTED,LED-29275449,2026-08-03T15:54:43,RB-20260803
TXN-000023,PAY-000023-180,SET-20260820-261790,2237.78,INR,2026-08-20T23:38:05,POSTED,LED-22405008,2026-08-21T13:36:47,RB-20260821
TXN-000024,PAY-000024-343,SET-20260812-492135,1064.94,INR,2026-08-12T04:33:18,POSTED,LED-30091685,2026-08-12T15:21:53,RB-20260812
TXN-000026,PAY-000026-309,SET-20260829-638696,297.52,INR,2026-08-29T01:43:04,POSTED,LED-64241358,2026-08-29T04:52:38,RB-20260829
TXN-000027,PAY-000027-540,SET-20260831-828626,512.44,INR,2026-08-31T14:36:28,POSTED,LED-45036356,2026-09-01T03:19:47,RB-20260901
TXN-000028,PAY-000028-114,SET-20260830-758542,13.07,INR,2026-08-30T05:30:16,POSTED,LED-85180023,2026-08-30T15:56:15,RB-20260830
TXN-000029,PAY-000029-830,SET-20260810-955635,583.87,INR,2026-08-10T06:38:04,POSTED,LED-53092321,2026-08-10T20:28:47,RB-20260810
TXN-000030,PAY-000030-121,SET-20260817-149439,2070.80,INR,2026-08-17T21:37:12,POSTED,LED-51011496,2026-08-18T09:46:03,RB-20260818
TXN-000031,PAY-000031-272,SET-20260810-640578,1811.71,INR,2026-08-10T23:17:53,POSTED,LED-61925111,2026-08-11T04:13:26,RB-20260811
